Energy (keV),MAC
24.21041516,68.17284625
24.72771617,57.4094437
25.25607029,66.16877999
25.79571369,65.98649411
26.34688758,69.39346304
26.90983834,73.76304212
27.4848176,69.6707102
28.07208237,51.87701199
28.67189516,64.98914554
29.28452408,57.58456526
29.91024296,48.70598398
30.5493315,55.86894133
31.20207537,59.1444212
31.86876634,44.19861638
32.54970242,45.63471225
33.24518797,51.85836874
33.95553388,49.48415062
34.68105767,50.01581705
35.42208363,38.44996174
36.17894301,44.37133728
36.9519741,46.80626987
37.74152246,43.33580904
38.54794101,39.2445671
39.3715902,41.28285087
40.21283821,39.23452062
41.07206106,39.61438386
41.94964282,45.35905815
42.84597576,43.71636648
43.76146054,48.83351657
44.69650637,34.00280367
45.65153122,22.88987537
46.62696196,21.54440662
47.62323462,14.6239715
48.64079451,13.31881698
49.68009648,11.33488851
50.74160509,10.12197012
51.82579483,9.948366535
52.93315032,8.310600265
54.06416654,7.024340596
55.21934905,6.388635912
56.3992142,5.719161987
57.60428938,5.369645684
58.83511327,4.834674623
60.09223602,3.838641422
61.37621955,4.229255546
62.68763781,4.298030702
64.02707698,4.412577242
65.39513579,4.277112454
66.79242575,4.435322099
68.21957143,4.721420917
69.67721076,3.666595745
71.16599529,3.613021916
72.6865905,3.250666079
74.23967609,3.904504909
75.82594627,4.07159053
77.44611009,3.736746152
79.10089176,4.074699595
80.79103094,4.79337631
82.51728312,4.588895395
84.28041993,4.401446309
86.08122947,4.785319491
87.92051668,4.410049243
89.79910373,4.931436939
91.71783031,4.189426493
93.6775541,4.019857415
95.67915107,5.162715038
97.72351591,4.414858464
99.81156245,4.463540416
101.944224,5.022802939
104.1224539,3.935920663
106.3472258,3.763304736
108.6195341,3.645644668
110.9403946,2.582278627
113.3108446,2.785145327
115.7319437,2.265037617
118.2047741,2.106915375
120.7304412,2.269269173
123.3100739,1.836064512
125.9448254,1.820120429
128.6358732,1.570140111
131.3844204,1.401501158
134.1916954,1.539758854
137.0589531,1.306838986
139.9874752,1.117551501
142.9785706,1.068212098
146.0335764,1.119701955
149.1538582,1.16385781
152.3408107,1.018809289
155.5958583,1.072414758
158.9204562,1.019543112
162.3160904,0.895263697
165.7842786,0.955566879
169.3265713,0.829934288
172.9445516,0.792163455
176.6398369,0.860479653
180.414079,0.768697798
184.2689648,0.738820462
188.2062174,0.812542274
192.2275969,0.86348255
196.3349007,0.837926072
200.5299648,0.837479066
204.8146643,0.907643583
209.1909145,0.935365992
213.6606714,0.922405831
218.2259331,0.970618122
222.8887403,0.887984276
227.651177,0.885328785
232.5153722,0.909934326
237.4835,0.841504351
