Run Number,Hits,Average Energy
490,9841,195.0440899782607
491,9826,199.5180903120746
492,9817,203.5819513644501
493,9808,207.96694178963511
494,9822,212.18201697691072
495,9811,216.67642576666685
496,9826,221.46184297161975
497,9829,226.14096601402193
498,9804,230.93248121114343
499,9794,236.01373884076477
5,1452,0.0069157400000001285
50,3852,0.017906799999999567
51,3618,0.018289400000000372
52,3592,0.01868019999999932
53,3560,0.019079400000000756
54,3505,0.01948699999999929
55,3491,0.019903399999999027
56,3427,0.02032869999999971
57,3371,0.02076300000000101
58,3282,0.021206699999999818
59,3327,0.02165979999999991
6,1257,0.007063510000000046
60,3199,0.022122600000001463
61,3140,0.022595299999999985
62,3161,0.02307810000000029
63,3116,0.023571200000000247
64,3123,0.024074799999999716
65,3110,0.02458567292604476
66,3058,0.025114599999999685
67,3026,0.025651300000001074
68,3114,0.02619930000000077
69,3091,0.026759100000001222
7,1209,0.00721444000000011
70,3027,0.027330899999999873
71,3012,0.027914899999999226
72,3092,0.028511300000001048
73,3067,0.029120500000000694
74,3053,0.029742699999999903
75,3143,0.030378299999999112
76,3156,0.03102730000000143
77,3226,0.03169029999999819
78,3225,0.03236739999999854
79,3265,0.03305899999999836
8,1106,0.007368589999999798
80,3218,0.033765399999997135
81,3243,0.03448679999999932
82,3203,0.03522370000000211
83,3352,0.03597630000000129
84,3288,0.03674499999999908
85,3364,0.03753020000000274
86,3391,0.038332100000002145
87,3291,0.03915109999999867
88,3371,0.03998760000000189
89,3302,0.040842100000002164
9,983,0.007526030000000126
90,3364,0.04171469999999999
91,3404,0.04260600000000327
92,3565,0.043516399999998796
93,3459,0.04444620000000052
94,3450,0.04539589999999941
95,3587,0.04636579999999845
96,3508,0.04735650000000376
97,3544,0.04836839999999736
98,3715,0.0494018999999998
99,3689,0.050457399999999215
