Run Number,Hits,Average Energy,Extracted Energy (keV),Thickness (cm),,EnergyP,HitsP,MAC
165,4609,0.203668,0.203667684,3.95E-05,,1.000001553,0.4609,7.26E+03
166,4626,0.208019,0.208019426,3.92E-05,,0.99999795,0.4626,7.28E+03
167,4719,0.212464,0.212464152,3.89E-05,,0.999999283,0.4719,7.15E+03
168,4819,0.217004,0.217003848,3.86E-05,,1.000000699,0.4819,7.01E+03
169,4957,0.221641,0.221640543,3.83E-05,,1.000002061,0.4957,6.79E+03
17,996,0.00891292,0.008912922,3.80E-05,,0.999999781,0.0996,2.25E+04
170,4750,0.226376,0.22637631,3.82E-05,,0.999998631,0.475,7.23E+03
171,4694,0.231213,0.231213265,3.83E-05,,0.999998853,0.4694,7.31E+03
172,4652,0.23610861,0.236153571,3.84E-05,,0.999809611,0.4652,7.38E+03
173,4552,0.241199,0.241199436,3.86E-05,,0.999998193,0.4552,7.56E+03
174,4659,0.246353,0.246353115,3.87E-05,,0.999999533,0.4659,7.30E+03
175,4846,0.251617,0.251616912,3.89E-05,,1.000000349,0.4846,6.90E+03
176,4693,0.256993,0.25699318,3.90E-05,,0.999999299,0.4693,7.18E+03
177,4561,0.262484,0.262484322,3.92E-05,,0.999998772,0.4561,7.42E+03
178,4593,0.268093,0.268092793,3.93E-05,,1.000000771,0.4593,7.32E+03
179,4711,0.273821,0.273821099,3.95E-05,,0.999999637,0.4711,7.06E+03
18,606,0.00910336,0.009103363,3.97E-05,,0.99999964,0.0606,2.62E+04
180,4704,0.279672,0.279671802,3.98E-05,,1.000000709,0.4704,7.01E+03
181,4822,0.285648,0.285647515,4.00E-05,,1.000001697,0.4822,6.75E+03
182,4794,0.291721014,0.291750911,4.04E-05,,0.999897526,0.4794,6.74E+03
183,4735,0.297985,0.297984718,4.08E-05,,1.000000947,0.4735,6.79E+03
184,4899,0.304352,0.304351721,4.11E-05,,1.000000916,0.4899,6.43E+03
185,4877,0.310855,0.310854768,4.15E-05,,1.000000748,0.4877,6.41E+03
186,4902,0.317497,0.317496764,4.19E-05,,1.000000744,0.4902,6.31E+03
187,5038,0.324281,0.324280679,4.23E-05,,1.000000991,0.5038,6.01E+03
188,4767,0.33121,0.331209545,4.27E-05,,1.000001375,0.4767,6.43E+03
189,4752,0.338286,0.338286459,4.31E-05,,0.999998643,0.4752,6.40E+03
