File,Entries,Mean,Max Energy,E0,Thickness (m),Energy P,HITS P,Intensity,Coeff
E485.root,977,0.151281,0.151281,0.15128056,2.80E-07,0.999997092,0.0977,0.097699716,8.31E+06
E486.root,976,0.152037,0.152037,0.15203696,2.80E-07,0.999999737,0.0976,0.097599974,8.31E+06
E487.root,1002,0.152797,0.152797,0.15279715,2.80E-07,1.000000982,0.1002,0.100200098,8.22E+06
E488.root,1007,0.153561,0.153561,0.15356113,2.80E-07,1.000000847,0.1007,0.100700085,8.20E+06
E489.root,895,0.154329,0.154329,0.15432894,2.80E-07,0.999999611,0.0895,0.089499965,8.62E+06
E490.root,971,0.155101,0.155101,0.15510058,2.80E-07,0.999997292,0.0971,0.097099737,8.33E+06
E491.root,935,0.155876,0.155876,0.15587609,2.80E-07,1.000000577,0.0935,0.093500054,8.46E+06
E493.root,915,0.156655,0.156655,0.15665547,2.80E-07,1.000003,0.0915,0.091500275,8.54E+06
E494.root,929,0.157439,0.157439,0.15743875,2.80E-07,0.999998412,0.0929,0.092899852,8.49E+06
E495.root,925,0.158226,0.158226,0.15822594,2.80E-07,0.999999621,0.0925,0.092499965,8.50E+06
E496.root,881,0.159017,0.159017,0.15901707,2.80E-07,1.00000044,0.0881,0.088100039,8.68E+06
E497.root,902,0.159812,0.159812,0.15981215,2.80E-07,1.000000939,0.0902,0.090200085,8.59E+06
E498.root,887,0.160611,0.160611,0.16061121,2.80E-07,1.000001308,0.0887,0.088700116,8.65E+06
E499.root,906,0.161414,0.161414,0.16141427,2.80E-07,1.000001673,0.0906,0.090600152,8.58E+06
E500.root,901,0.162221,0.162221,0.16222134,2.80E-07,1.000002096,0.0901,0.090100189,8.60E+06
E501.root,925,0.163032,0.163032,0.16303245,2.80E-07,1.00000276,0.0925,0.092500255,8.50E+06
E502.root,851,0.163848,0.163848,0.16384761,2.80E-07,0.99999762,0.0851,0.085099797,8.80E+06
E55.root,899,0.164667,0.164667,0.16466685,2.80E-07,0.999999089,0.0899,0.089899918,8.60E+06
E56.root,858,0.16549,0.16549,0.16549018,2.80E-07,1.000001088,0.0858,0.085800093,8.77E+06
E57.root,910,0.166318,0.166318,0.16631763,2.80E-07,0.999997775,0.091,0.090999798,8.56E+06
E58.root,840,0.167149,0.167149,0.16714922,2.80E-07,1.000001316,0.084,0.084000111,8.85E+06
E59.root,868,0.167985,0.167985,0.16798497,2.80E-07,0.999999821,0.0868,0.086799984,8.73E+06
E60.root,821,0.168825,0.168825,0.16882489,2.80E-07,0.999999348,0.0821,0.082099947,8.93E+06
E61.root,827,0.169669,0.169669,0.16966902,2.80E-07,1.000000118,0.0827,0.08270001,8.90E+06
E62.root,803,0.170517,0.170517,0.17051736,2.80E-07,1.000002111,0.0803,0.08030017,9.01E+06
E63.root,844,0.17137,0.17137,0.17136995,2.80E-07,0.999999708,0.0844,0.084399975,8.83E+06
E64.root,848,0.172227,0.172227,0.1722268,2.80E-07,0.999998839,0.0848,0.084799902,8.81E+06
E66.root,783,0.173088,0.173088,0.17308793,2.80E-07,0.999999596,0.0783,0.078299968,9.10E+06
E67.root,830,0.173953,0.173953,0.17395337,2.80E-07,1.000002127,0.083,0.083000177,8.89E+06
E68.root,805,0.174823,0.174823,0.17482314,2.80E-07,1.000000801,0.0805,0.080500064,9.00E+06
E69.root,803,0.175697,0.175697,0.17569726,2.80E-07,1.00000148,0.0803,0.080300119,9.01E+06
E70.root,800,0.176576,0.176576,0.17657574,2.80E-07,0.999998528,0.08,0.079999882,9.02E+06
E71.root,802,0.177459,0.177459,0.17745862,2.80E-07,0.999997859,0.0802,0.080199828,9.01E+06
E72.root,765,0.178346,0.178346,0.17834591,2.80E-07,0.999999495,0.0765,0.076499961,9.18E+06
E73.root,818,0.179238,0.179238,0.17923764,2.80E-07,0.999997991,0.0818,0.081799836,8.94E+06
E74.root,831,0.180134,0.180134,0.18013383,2.80E-07,0.999999056,0.0831,0.083099922,8.88E+06
E75.root,831,0.181034,0.181034,0.1810345,2.80E-07,1.000002762,0.0831,0.08310023,8.88E+06
E77.root,799,0.18194,0.18194,0.18193967,2.80E-07,0.999998186,0.0799,0.079899855,9.02E+06
E78.root,835,0.182849,0.182849,0.18284937,2.80E-07,1.000002024,0.0835,0.083500169,8.87E+06
E79.root,836,0.183764,0.183764,0.18376362,2.80E-07,0.999997932,0.0836,0.083599827,8.86E+06
E80.root,794,0.184682,0.184682,0.18468244,2.80E-07,1.000002382,0.0794,0.079400189,9.05E+06
E81.root,749,0.185606,0.185606,0.18560585,2.80E-07,0.999999192,0.0749,0.074899939,9.26E+06
E82.root,791,0.186534,0.186534,0.18653388,2.80E-07,0.999999357,0.0791,0.079099949,9.06E+06
E83.root,765,0.187467,0.187467,0.18746655,2.80E-07,0.9999976,0.0765,0.076499816,9.18E+06
E84.root,749,0.188404,0.188404,0.18840388,2.80E-07,0.999999363,0.0749,0.074899952,9.26E+06
E85.root,765,0.189346,0.189346,0.1893459,2.80E-07,0.999999472,0.0765,0.07649996,9.18E+06
E86.root,755,0.190293,0.190293,0.19029263,2.80E-07,0.999998056,0.0755,0.075499853,9.23E+06
E88.root,799,0.191244,0.191244,0.19124409,2.80E-07,1.000000471,0.0799,0.079900038,9.02E+06
E89.root,803,0.1922,0.1922,0.19220031,2.80E-07,1.000001613,0.0803,0.08030013,9.01E+06
E90.root,748,0.193161,0.193161,0.19316131,2.80E-07,1.000001605,0.0748,0.07480012,9.26E+06
E91.root,746,0.194127,0.194127,0.19412712,2.80E-07,1.000000618,0.0746,0.074600046,9.27E+06
E92.root,796,0.195098,0.195098,0.19509776,2.80E-07,0.99999877,0.0796,0.079599902,9.04E+06
E93.root,841,0.196073,0.196073,0.19607325,2.80E-07,1.000001275,0.0841,0.084100107,8.84E+06
E94.root,758,0.197054,0.197054,0.19705361,2.80E-07,0.999998021,0.0758,0.07579985,9.21E+06
E95.root,810,0.198039,0.198039,0.19803888,2.80E-07,0.999999394,0.081,0.080999951,8.98E+06
E96.root,762,0.199029,0.199029,0.19902907,2.80E-07,1.000000352,0.0762,0.076200027,9.19E+06
E97.root,768,0.200024,0.200024,0.20002422,2.80E-07,1.0000011,0.0768,0.076800084,9.17E+06
E99.root,817,0.201024,0.201024,0.20102434,2.80E-07,1.000001691,0.0817,0.081700138,8.95E+06
E100.root,777,0.202029,0.202029,0.20202946,2.80E-07,1.000002277,0.0777,0.077700177,9.12E+06
E101.root,722,0.20304,0.20304,0.20303961,2.80E-07,0.999998079,0.0722,0.072199861,9.39E+06
E102.root,801,0.204055,0.204055,0.20405481,2.80E-07,0.999999069,0.0801,0.080099925,9.02E+06
E103.root,721,0.205075,0.205075,0.20507508,2.80E-07,1.00000039,0.0721,0.072100028,9.39E+06
E104.root,781,0.2061,0.2061,0.20610046,2.80E-07,1.000002232,0.0781,0.078100174,9.11E+06
E105.root,761,0.207131,0.207131,0.20713096,2.80E-07,0.999999807,0.0761,0.076099985,9.20E+06
E106.root,822,0.208167,0.208167,0.20816661,2.80E-07,0.999998127,0.0822,0.082199846,8.92E+06
E107.root,847,0.209207,0.209207,0.20920745,2.80E-07,1.000002151,0.0847,0.084700182,8.82E+06
E108.root,779,0.210253,0.210253,0.21025348,2.80E-07,1.000002283,0.0779,0.077900178,9.12E+06
E110.root,786,0.211305,0.211305,0.21130475,2.80E-07,0.999998817,0.0786,0.078599907,9.08E+06
E111.root,763,0.212361,0.212361,0.21236128,2.80E-07,1.000001319,0.0763,0.076300101,9.19E+06
E112.root,747,0.213423,0.213423,0.21342308,2.80E-07,1.000000375,0.0747,0.074700028,9.27E+06
E113.root,761,0.21449,0.21449,0.2144902,2.80E-07,1.000000932,0.0761,0.076100071,9.20E+06
E114.root,874,0.215563,0.215563,0.21556265,2.80E-07,0.999998376,0.0874,0.087399858,8.70E+06
E115.root,864,0.21664,0.21664,0.21664046,2.80E-07,1.000002123,0.0864,0.086400183,8.75E+06
E116.root,832,0.217724,0.217724,0.21772366,2.80E-07,0.999998438,0.0832,0.08319987,8.88E+06
E117.root,855,0.218812,0.218812,0.21881228,2.80E-07,1.00000128,0.0855,0.085500109,8.78E+06
E118.root,811,0.219906,0.219906,0.21990634,2.80E-07,1.000001546,0.0811,0.081100125,8.97E+06
E119.root,837,0.221006,0.221006,0.22100588,2.80E-07,0.999999457,0.0837,0.083699955,8.86E+06
E121.root,788,0.222111,0.222111,0.2221109,2.80E-07,0.99999955,0.0788,0.078799965,9.07E+06
E122.root,829,0.223221,0.223221,0.22322146,2.80E-07,1.000002061,0.0829,0.082900171,8.89E+06
E123.root,825,0.224338,0.224338,0.22433757,2.80E-07,0.999998083,0.0825,0.082499842,8.91E+06
E124.root,824,0.225459,0.225459,0.22545925,2.80E-07,1.000001109,0.0824,0.082400091,8.91E+06
E125.root,854,0.226587,0.226587,0.22658655,2.80E-07,0.999998014,0.0854,0.08539983,8.79E+06
E126.root,804,0.227719,0.227719,0.22771948,2.80E-07,1.000002108,0.0804,0.080400169,9.00E+06
E127.root,868,0.228858,0.228858,0.22885808,2.80E-07,1.00000035,0.0868,0.08680003,8.73E+06
E128.root,838,0.230002,0.230002,0.23000237,2.80E-07,1.000001609,0.0838,0.083800135,8.85E+06
E129.root,859,0.231152,0.231152,0.23115238,2.80E-07,1.000001644,0.0859,0.085900141,8.77E+06
E130.root,816,0.232308,0.232308,0.23230814,2.80E-07,1.000000603,0.0816,0.081600049,8.95E+06
E132.root,847,0.23347,0.23347,0.23346969,2.80E-07,0.999998672,0.0847,0.084699888,8.82E+06
E133.root,815,0.234637,0.234637,0.23463703,2.80E-07,1.000000128,0.0815,0.08150001,8.95E+06
E134.root,863,0.23581,0.23581,0.23581022,2.80E-07,1.000000933,0.0863,0.086300081,8.75E+06
E135.root,902,0.236989,0.236989,0.23698927,2.80E-07,1.000001139,0.0902,0.090200103,8.59E+06
E136.root,857,0.238174,0.238174,0.23817422,2.80E-07,1.000000924,0.0857,0.085700079,8.77E+06
E137.root,883,0.239365,0.239365,0.23936509,2.80E-07,1.000000376,0.0883,0.088300033,8.67E+06
E138.root,884,0.240562,0.240562,0.24056191,2.80E-07,0.999999626,0.0884,0.088399967,8.66E+06
E139.root,866,0.241765,0.241765,0.24176472,2.80E-07,0.999998842,0.0866,0.0865999,8.74E+06
E140.root,915,0.242974,0.242974,0.24297355,2.80E-07,0.999998148,0.0915,0.091499831,8.54E+06
E141.root,915,0.244188,0.244188,0.24418841,2.80E-07,1.000001679,0.0915,0.091500154,8.54E+06
E143.root,931,0.245211,0.245211,0.24521055,2.80E-07,0.999998165,0.0931,0.093099829,8.48E+06
E144.root,915,0.245409,0.245409,0.24540936,2.80E-07,1.000001467,0.0915,0.091500134,8.54E+06
E145.root,943,0.245589,0.245589,0.24558945,2.80E-07,1.000001832,0.0943,0.094300173,8.43E+06
E146.root,925,0.246636,0.246636,0.2466364,2.80E-07,1.000001622,0.0925,0.09250015,8.50E+06
E147.root,932,0.24787,0.24787,0.24786959,2.80E-07,0.999998346,0.0932,0.093199846,8.48E+06
E148.root,840,0.249109,0.249109,0.24910893,2.80E-07,0.999999719,0.084,0.083999976,8.85E+06
E149.root,776,0.250354,0.250354,0.25035448,2.80E-07,1.000001917,0.0776,0.077600149,9.13E+06
E150.root,853,0.251606,0.251606,0.25160625,2.80E-07,1.000000994,0.0853,0.085300085,8.79E+06
E151.root,822,0.252864,0.252864,0.25286428,2.80E-07,1.000001107,0.0822,0.082200091,8.92E+06
E152.root,896,0.254129,0.254129,0.2541286,2.80E-07,0.999998426,0.0896,0.089599859,8.62E+06
E154.root,845,0.255399,0.255399,0.25539925,2.80E-07,1.000000979,0.0845,0.084500083,8.83E+06
E155.root,897,0.256676,0.256676,0.25667624,2.80E-07,1.000000935,0.0897,0.089700084,8.61E+06
E156.root,919,0.25796,0.25796,0.25795962,2.80E-07,0.999998527,0.0919,0.091899865,8.53E+06
E157.root,906,0.258596,0.258596,0.25859581,2.80E-07,0.999999265,0.0906,0.090599933,8.58E+06
E158.root,873,0.259004,0.259004,0.25900419,2.80E-07,1.000000734,0.0873,0.087300064,8.71E+06
E159.root,943,0.259249,0.259249,0.25924942,2.80E-07,1.00000162,0.0943,0.094300153,8.43E+06
E160.root,919,0.260546,0.260546,0.26054567,2.80E-07,0.999998733,0.0919,0.091899884,8.53E+06
E161.root,816,0.261848,0.261848,0.2618484,2.80E-07,1.000001528,0.0816,0.081600125,8.95E+06
E162.root,869,0.263158,0.263158,0.26315764,2.80E-07,0.999998632,0.0869,0.086899881,8.72E+06
E163.root,832,0.264473,0.264473,0.26447343,2.80E-07,1.000001626,0.0832,0.083200135,8.88E+06
E166.root,833,0.265796,0.265796,0.26579579,2.80E-07,0.99999921,0.0833,0.083299934,8.88E+06
E167.root,886,0.267125,0.267125,0.26712477,2.80E-07,0.999999139,0.0886,0.088599924,8.66E+06
E168.root,896,0.26846,0.26846,0.2684604,2.80E-07,1.00000149,0.0896,0.089600134,8.62E+06
E169.root,902,0.269803,0.269803,0.2698027,2.80E-07,0.999998888,0.0902,0.0901999,8.59E+06
E170.root,941,0.271152,0.271152,0.27115171,2.80E-07,0.99999893,0.0941,0.094099899,8.44E+06
E171.root,947,0.272507,0.272507,0.27250747,2.80E-07,1.000001725,0.0947,0.094700163,8.42E+06
