File,Entries,Mean,Max Energy
E1.root,71,0.006130499999999995,0.0061305
E10.root,25,0.03323520000000001,0.03323519999999999
E100.root,777,0.20202900000000082,0.202029
E101.root,722,0.20303999999999944,0.20304000000000003
E102.root,801,0.20405500000000054,0.204055
E103.root,721,0.2050749999999967,0.20507500000000004
E104.root,781,0.2061000000000007,0.20609999999999998
E105.root,761,0.20713100000000179,0.20713099999999998
E106.root,822,0.20816700000000243,0.208167
E107.root,847,0.2092069999999999,0.20920699999999998
E108.root,779,0.2102529999999971,0.21025300000000002
E109.root,1972,0.10776799999999512,0.107768
E11.root,16,0.03343200000000001,0.033432
E110.root,786,0.21130500000000121,0.211305
E111.root,763,0.21236099999999822,0.212361
E112.root,747,0.21342300000000322,0.213423
E113.root,761,0.21449000000000146,0.21449000000000001
E114.root,874,0.21556300000000247,0.215563
E115.root,864,0.21664000000000314,0.21664000000000003
E116.root,832,0.2177240000000021,0.21772400000000003
E117.root,855,0.21881200000000428,0.21881199999999998
E118.root,811,0.219906000000001,0.21990600000000002
E119.root,837,0.22100599999999776,0.22100599999999998
E12.root,1,0.012216099999999999,0.012216099999999999
E120.root,2039,0.10830699999999792,0.108307
E121.root,788,0.22211100000000247,0.22211099999999998
E122.root,829,0.22322099999999723,0.223221
E123.root,825,0.22433799999999807,0.22433800000000004
E124.root,824,0.2254590000000007,0.225459
E125.root,854,0.22658699999999687,0.22658699999999998
E126.root,804,0.2277190000000001,0.22771900000000003
E127.root,868,0.22885800000000198,0.228858
E128.root,838,0.23000200000000381,0.23000199999999998
E129.root,859,0.23115200000000166,0.23115200000000002
E13.root,29,0.033566399999999996,0.033566399999999996
E130.root,816,0.23230799999999807,0.23230800000000001
E131.root,1972,0.10884899999999859,0.108849
E132.root,847,0.2334700000000025,0.23346999999999998
E133.root,815,0.2346369999999994,0.23463700000000004
E134.root,863,0.2358099999999954,0.23580999999999996
E135.root,902,0.23698899999999615,0.236989
E136.root,857,0.23817399999999544,0.238174
E137.root,883,0.23936499999999875,0.23936500000000005
E138.root,884,0.24056200000000322,0.240562
